,nnp,after
5455,네이버,G IT
12400,NAVER,G IT
951,LINE,G SNS
5686,네이버 클라우드,G 인프라
11972,한게임,G Game
11696,LG전자,B 전자
12405,LG 전자,B 전자
4099,LG이노텍,B 소재·부품기업
1050,LG CNS,B IT
3834,LG유플러스,B 통신
6607,LGU+,B 통신
7329,LG상사,B 상사
11379,LG디스플레이, B 디스플레이
9687,LG생활건강,B 생활용품
9896,LG엔시스,B 인프라
8303,LG생명과학,B 화학
7381,LG화학,B 화학
12404,LG 화학,B 화학
7132,LG그룹,B 그룹
1168,LG,B 그룹
6616,엘지,B 그룹
1504,SK텔레콤,I IT
12419,SK 텔레콤,I IT
12420,SK T,I IT
12421,SKT,I IT
233,SK하이닉스,I 반도체
686,SK네트웍스,I 네트워크
2088,SKIET,I 테크
5460,SK케미칼,I 화학
2603,SK이노베이션,I 화학
3883,SK에너지,I 화학
4799,SK커뮤니케이션즈,I SNS
10958,SKB,I 유선
5703,SK브로드,I 유선
6347,SK플래닛,I 데이터
6946,SKC&C,I IT서비스
8373,11번가,I 쇼핑
11537,SK증권,I 증권
11035,SK그룹,I 그룹
8084,SK,I 그룹
2346,삼성전자,A 전자
12401,삼성 전자,A 전자
4930,삼성SDI,A 에너지
2341,SDS,A IT
11688,삼성중공업,A 중공업
9992,삼성화재,A 보험
9952,삼성제약,A 생명
5590,삼성바이오로직스,A 생명
1566,삼성메디슨,A 생명
4037,삼성물산,A 건설
2359,삼성증권,A 금융
2090,삼성카드,A 금융
2428,삼성엔지니어링,A EPC
4965,삼성전기,A 반도체
12402,SAMSUNG,A 그룹
12403,SAM SUMG,A 그룹
10833,삼성그룹,A 그룹
4280,삼성,A 그룹
4591,롯데케미칼,D 화학
12417,롯데 케미칼,D 화학
12418,호남석유화학,D 화학(전)
3127,롯데정밀화학,D 에너지
1672,롯데카드,D 카드
4210,롯데캐피탈,D 캐피탈
4825,롯데제과,D 식품
8664,롯데건설,D 건설
8872,롯데홀딩스,D 지주회사
9210,롯데백화점,D 백화점
9550,롯데칠성음료,D 음료
10355,롯데시네마,D 영화
10664,롯데월드,D 월드
12388,롯데닷컴,D 쇼핑
10319,롯데정보통신,D IT
7345,롯데 자이언츠,D 야구
7345,롯데자이언츠,D 야구
1584,롯데그룹,D 그룹
10318,롯데,D 그룹
767,녹십자,H 생명
12406,GC녹십자웰빙,H 생명
12407,GC녹십자,H 생명
12408,녹십자생명,H 생명
12409,녹십자웰빙,H 생명
12410,GC녹십자엠에스,H 생명
12411,GC녹십자셀,H 생명
12412,GC녹십자랩셀,H 생명
12413,GC녹십자MS,H 생명
12414,녹십자엠에스,H 생명
12415,녹십자MS,H 생명
2193,셀트리온,C 생명
12416,셀트리온GSC,C 생명
