,nnp
37,VIBE,G 음악
3761,쥬니어네이버,G 키즈
7105,네이버 지도,G 지도

8423,LG 마그나,B 스마트폰 M
9629,LG G,B 스마트폰
10028,옵티머스 패드,B 패드
3416,옵티머스패드,B 패드
10223,코드제로 T9,B 청소기
129,넥서스,B 스마트폰 N
628,K10,B 스마트폰 K10
1044,LG K,B 스마트폰 K
2909,LG 옵티머스 3D,B 스마트폰 3D
3414,LG X,B 스마트폰 X
3531,옵티머스,B 스마트폰
5665,G8,B 스마트폰 G8
5666,G7,B 스마트폰 G7
5667,G6,B 스마트폰 G6
5668,G5,B 스마트폰 G5
5669,G4,B 스마트폰 G4
5670,G3,B 스마트폰 G3
6425,LG V,B 스마트폰 V

11458,NUGU,I 인공지능
2811,티맵, I 지도
2812,T MAP, I 지도

6378,타이젠,A OS
10323,T9000,A 냉장고 T
9749,삼성 제트,A 청소기
297,빅스비,A 인공지능
7590,SSAFY,A 교육
7591,삼성청년SW아카데미,A 교육
7594,삼성 청년 소프트웨어 아카데미,A 교육
11582,삼성 페이,A 결제
4138,갤럭시,A 스마트폰
5847,삼성 기어 VR,A VR
195,엑시노트,A 프로세서
195,엑시노스,A 프로세서
196,Z3,A 스마트폰 Z
300,M7,A 모니터
