,nnp
3,유니티
8,최승재
9,김상헌
11,조현민
12,유승재
15,MBK
30,정명진
34,CJ헬로비전
37,VIBE
38,정준양
46,송광수
48,이상래
49,김구영
50,김택수
53,이감규
57,황순욱
73,브로드컴
90,정영석
97,김영중
98,김훈
109,김동관
113,엄태웅
124,한겨레
125,LG하우시스
126,환인제약
129,넥서스 5X
130,한화탈레스
134,SPC
137,오세현
139,크레디아
142,에어부산
143,박상현
153,동원F&B
160,이인용
170,정일우
176,한화케미칼
195,엑시노트 Z350
196,Z3
198,허성수
209,네슬레
216,아남전자
220,김용대
222,이동하
223,최수진
233,SK하이닉스
234,SAP
244,이언주
245,퀄컴
297,빅스비
300,M7
329,이재관
343,토니모리
349,KB손해보험
351,래리 헥
359,박재현
360,박건영
361,CJ그룹
370,임우성
409,기우성
418,김명희
421,송원산업
425,장승업
435,대우조선해양
447,인텔
456,CGV
463,현대상선
468,쌍용
469,최성민
473,벅스
474,김경진
496,이랜드리테일
501,모건스탠리
526,대림산업
530,볼보
531,삼양제넥스
541,인바디
542,가트너
545,정미선
558,정현옥
565,소니
585,장세정
589,가온미디어
600,최진원
607,이은희
615,김동선
626,김진홍
627,이시종
628,K10
629,박용호
648,김정환
649,폴슨앤드컴퍼니
658,존 폴슨
659,권오준
667,에릭손
671,PBS바이오텍
686,SK네트웍스
688,삼보
696,서정진
713,고민정
715,차광렬
717,박삼구
730,전자랜드
737,민원기
742,하나금융그룹
743,코리아써키트
744,폭스바겐
747,곽정수
767,녹십자
772,MS
773,세메스
778,김환기
784,알리페이
793,DGB
812,CRG
817,김정아
856,아우디
860,금호건설
866,문규영
870,나경원
878,포드CAR
892,김기춘
903,김상만
909,EMC
926,동부하이텍
930,최진호
949,태광산업
951,LINE
968,신제윤
974,레드햇
975,오리온
976,노키아
985,신형철
986,박영호
994,서경배
996,박성우
1002,최시영
1014,제일모직
1018,강신영
1028,최재원
1034,에어비앤비
1044,LG K
1050,LG CNS
1097,최훈
1098,강종구
1099,강종렬
1102,야후
1103,정상섭
1113,산업은행
1120,레이쥔
1168,LG
1174,FIREKIM
1181,GS25
1182,휴켐스
1189,랜드로버
1194,YG
1204,이한주
1224,김형기
1244,윤재웅
1279,IDQ
1285,이영일
1322,조윤경
1324,조원동
1331,칼자이스
1332,지적
1347,대우건설
1355,엔텔스
1363,LG G2
1370,딜라이브
1372,김동원
1419,KT스카이라이프
1425,이상혁
1426,이상훈
1434,시게이트
1436,이상헌
1450,이진영
1452,류수정
1454,김범수
1465,김한조
1466,지형도
1469,이재호
1486,롯데정보통신
1489,방준혁
1502,KB투자증권
1504,SK텔레콤
1506,IBK투자증권
1511,김정우
1520,금호타이어
1521,김정한
1522,김민규
1528,S3
1547,남양유업
1550,박중현
1551,YPP
1552,홈플러스 익스프레스
1562,김정중
1563,구광모
1564,ZWK
1566,삼성메디슨
1568,심학봉
1573,THINQ
1584,롯데그룹
1587,디오텍
1597,모토로라
1599,제네시스
1604,포스코A&C
1606,이희선
1611,YOUMAKE
1614,이선아
1626,박민식
1628,최휘영
1633,LG G5
1648,HTC
1666,권영수
1672,롯데카드
1674,이학수
1697,SPP조선
1702,권영진
1716,투비소프트
1718,농심
1746,최재승
1763,이용한
1793,강석희
1818,이주영
1833,NH투자증권
1836,김용주
1866,하나카드
1881,OPAL
1884,구본걸
1889,김승욱
1902,한빛소프트
1906,박양우
1917,ROI
2015,한국은행
2023,화웨이
2026,한국GM
2034,허영석
2043,김세형
2060,트리플래닛
2078,네타포르테
2088,SKIET
2089,조석래
2090,삼성카드
2113,정경숙
2119,제주공항
2133,이동성
2151,김석동
2159,노재헌
2170,박진환
2172,이베이
2175,제페토
2185,김동현
2193,셀트리온
2215,최영석
2264,TCL
2269,이채원
2270,김종식
2281,카카오페이지
2283,FLO
2300,현대증권
2341,SDS
2342,정용진
2346,삼성전자
2351,윤완주
2355,ASML
2358,김경남
2359,삼성증권
2386,최지성
2392,이동우
2394,신중호
2401,대우조선
2410,노소영
2412,현대글로비스
2426,천재교육
2428,삼성엔지니어링
2459,이재우
2504,김동춘
2521,우리금융그룹
2546,박영준
2569,파리바게뜨
2574,조준희
2576,박세리
2587,손진호
2595,CJ CGV
2598,박찬우
2603,SK이노베이션
2606,김성진
2665,이재성
2666,이웅범
2680,GS리테일
2690,소프트뱅크
2695,휠라
2740,이원준
2756,강병준
2757,김한별
2763,용마로지스
2773,한국노총
2774,김수현
2781,한화증권
2784,한명숙
2794,옥션
2811,티맵
2828,현대엘리베이터
2838,홍원표
2848,윤대섭
2850,GS칼텍스
2856,금호아시아나그룹
2868,최경주
2886,야마하
2890,우리은행
2903,박성훈
2904,조지현
2909,LG 옵티머스 3D
2911,정몽준
2929,신동인
2940,김우중
2958,오상진
2960,이승배
2976,알파스캔
3004,홍영표
3013,스미토모 상사
3015,진에어
3018,임종룡
3020,명인제약
3039,국민은행
3042,AWS
3063,서길수
3075,코오롱글로벌
3111,페이스북
3125,웅진식품
3127,롯데정밀화학
3142,박상익
3162,LOTTE
3191,스타벅스
3202,한솔테크닉스
3210,S-OIL
3253,김현식
3258,최인혁
3267,BNK
3301,양향자
3302,금호
3307,구본영
3324,손지훈
3330,애플
3359,동양매직
3360,라쿠텐
3369,엘리엇
3381,멜론
3394,인터파크
3401,CSL
3403,민노총
3406,김준구
3414,LG X
3418,GBI
3444,한미글로벌
3463,최진환
3483,금호석유화학
3486,구글
3508,박성민
3511,크롬북
3513,김학규
3519,김호길
3531,옵티머스
3550,카를로스 곤
3555,박영화
3556,김보아
3575,문형표
3601,BGF리테일
3634,이기태
3635,컴투스
3636,정우현
3652,이재원
3662,이하윤
3664,하일권
3675,변재일
3682,홍만표
3698,KT
3718,밸브
3719,김용수
3726,김현우
